home_name,link_name,type
Oracle,Microsoft,partnership
Intel,Nike,customer
Intel,Pinterest,investment
Intel,Google,investment
Nike,eBay,investment
Airbus,Vodafone,customer
ANSYS,Corning,partnership
ANSYS,Microsoft,partnership
Juniper Networks,Equinix,partnership
Accenture,Google,competitor
Dell,Juniper Networks,customer
Intel,Oracle,investment
Intel,Tesco,investment
Oracle,Microsoft,customer
Oracle,Google,customer
Oracle,eBay,customer
Oracle,Walmart,customer
Oracle,Best Buy,customer
Oracle,Netflix,customer
Oracle,Dell,customer
Microsoft,NetApp,customer
Facebook,Walmart,partnership
eBay,Google,investment
Fisher & Phillips,Delta Air Lines,customer
Fisher & Phillips,Facebook,customer
Fisher & Phillips,Amgen,customer
Fisher & Phillips,Microsoft,partnership
Fisher & Phillips,IBM,partnership
Google,Snapchat,customer
Google,Cars.com,customer
Oracle,Facebook,investment
Sonos,Microsoft,partnership
Sonos,Google,investment
Microsoft,Sonos,customer
Microsoft,eBay,investment
IBM,Telstra,customer
IBM,Hershey,customer
Motorola,AMD,partnership
Motorola,IBM,partnership
Motorola,Google,partnership
Accenture,Cars.com,competitor
Accenture,Viacom,partnership
Akamai,Netflix,customer
Google,Advanta,investment
Autodesk,Microsoft,competitor
Autodesk,Adobe,competitor
Pinterest,Telstra,customer
Texas Instruments,Autoliv,customer
ServiceNow,Qiagen,partnership
ServiceNow,AstraZeneca,investment
ServiceNow,Johnson & Johnson,investment
ServiceNow,Vertex Pharmaceuticals,partnership
ServiceNow,Dell,partnership
ServiceNow,Walmart,investment
Intel,Motorola,partnership
Google,Motorola,investment
IBM,Nike,partnership
IBM,Cisco,partnership
Facebook,Microsoft,investment
Facebook,Cisco,investment
Adobe,Google,competitor
Symantec,Oracle,partnership
Symantec,Intel,investment
Google,Wellpoint,customer
Microsoft,Accenture,partnership
IBM,Motorola,competitor
Adobe,Dell,competitor
Adobe,Cisco,partnership
Adobe,IBM,competitor
IBM,Microsoft,competitor
Motorola,IBM,customer
IBM,Extreme Networks,partnership
IBM,Motorola,partnership
Oracle,AMD,customer
Oracle,Pfizer,partnership
Oracle,Pfizer,investment
Oracle,Merck,investment
IBM,Merck,partnership
Google,Walmart,investment
Hill & Knowlton,Motorola,partnership
Symantec,Walmart,investment
Facebook,Motorola,customer
Facebook,MGM,partnership
Facebook,Equinix,investment
Facebook,ConAgra Foods,investment
Facebook,Microsoft,partnership
Motorola,Accenture,customer
Qualcomm,Microsoft,investment
Qualcomm,Netflix,partnership
Qualcomm,Cisco,customer
Sandvik,Baker & McKenzie,customer
Sandvik,Adobe,customer
Sandvik,Intel,investment
Sandvik,Lowe's,investment
Sandvik,Adobe,investment
Sandvik,Cisco,investment
Sandvik,Best Buy,investment
Sandvik,Walmart,investment
Sandvik,Autodesk,investment
Sandvik,Symantec,investment
Sandvik,Microsoft,partnership
Sandvik,Microsoft,investment
Amgen,Merck,investment
Vodafone,Tesco,partnership
Microsoft,RBC,customer
Microsoft,Johnson & Johnson,partnership
Microsoft,Nike,partnership
Microsoft,Walmart,partnership
Microsoft,ADB,partnership
Microsoft,Kimberly-Clark,partnership
Microsoft,Molson Coors,partnership
Microsoft,Williams-Sonoma,partnership
Cisco,Rockwell Automation,competitor
IBM,Oracle,customer
IBM,Oracle,partnership
Discovery Communications,eBay,investment
Discovery Communications,Google,investment
Discovery Communications,Tesco,investment
Discovery Communications,Walmart,investment
Discovery Communications,Microsoft,partnership
Discovery Communications,Google,partnership
Discovery Communications,Netflix,partnership
Cisco,Accenture,customer
Lululemon,Nike,customer
Lululemon,Nike,competitor
Pinterest,Lululemon,customer
Pinterest,Starbucks,investment
Pinterest,Facebook,investment
Oracle,Pinterest,customer
Oracle,Facebook,competitor
Oracle,Google,partnership
Intel,Motorola,competitor
Intel,Walmart,customer
Nike,Oracle,customer
First Solar,Airbnb,investment
Facebook,eBay,partnership
Intel,Facebook,customer
Cisco,DLT,investment
ANSYS,Motorola,customer
Northrop Grumman,TJX,customer
Google,Starbucks,customer
Google,Motorola,customer
Adobe,Facebook,customer
