employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,environmental_metric,social_metric,governance_metric,involvement_metric
32000,4.97,6,2050,100.0,-3.57,2.0,32.7,5.01,9.04,2.01,0.04
1867,4.35,6,2030,96.12,-0.52,3.4,15.6,4.51,9.54,2.01,1.03
5400,14.33,4,2024,1.36,0.7,1.5,20.3,4.51,8.2,2.01,0.04
34000,2.99,8,2050,100.0,-3.57,1.7,27.2,4.51,7.7,2.01,0.04
18984,1.98,5,2026,2.53,0.89,2.8,36.2,5.01,10.2,2.01,0.04
6760,2.82,7,2050,100.0,-3.57,1.4,15.0,5.01,8.54,2.01,0.04
860,-0.23,5,2031,21.0,0.48,2.2,29.1,5.01,10.530000000000001,2.01,2.02
120000,1.66,7,2050,60.56,-1.71,2.9,14.4,4.01,8.7,1.51,0.04
7100,3.43,7,2040,100.0,-5.56,2.0,22.3,4.51,9.2,2.01,0.04
21000,2.27,8,2050,100.0,-3.57,2.9,11.9,4.51,8.54,2.01,0.04
9900,3.97,6,2050,5.08,0.91,3.3,15.6,5.34,9.2,2.01,0.04
7570,2.31,6,2025,2.04,0.97,3.0,17.9,5.01,9.04,2.01,0.04
84900,3.36,8,2040,100.0,-5.56,1.8,13.9,4.01,9.530000000000001,2.01,1.03
36000,1.15,7,2050,100.0,-3.57,2.3,34.0,5.01,9.7,2.01,0.04
100000,1.24,7,2050,100.0,-3.57,2.0,9.2,5.01,10.030000000000001,2.01,1.03
284000,3.96,7,2050,100.0,-3.57,1.9,12.6,4.01,9.7,1.51,0.04
236000,3.45,7,2025,6.82,-0.53,2.1,10.8,4.01,9.54,1.51,0.04
63000,4.97,5,2032,3.09,0.87,2.2,10.6,4.51,7.54,2.01,0.04
30705,1.08,7,2030,37.49,-2.42,1.8,24.7,5.01,11.690000000000001,2.34,0.04
379,5.08,8,2025,15.21,-4.21,1.8,43.1,5.01,8.54,2.01,0.04
85000,3.33,5,2050,100.0,-3.45,1.7,21.6,4.51,8.54,2.01,0.04
17250,0.87,5,2050,84.62,-2.85,2.4,23.2,5.01,9.04,1.84,0.04
64088,4.11,7,2030,3.66,0.85,3.4,29.5,4.51,7.54,1.51,0.04
62931,2.03,5,2040,100.0,-5.56,1.9,15.0,5.01,9.04,2.01,0.04
7900,7.54,5,2025,2.96,0.43,2.5,14.6,5.01,9.54,2.01,0.04
43000,9.56,7,2030,8.79,-0.15,1.5,24.3,3.51,8.530000000000001,2.01,0.04
7100,3.43,7,2040,100.0,-5.56,2.0,22.3,4.51,9.2,2.01,0.04
50000,6.42,6,2040,100.0,-5.56,1.6,15.3,4.51,8.04,1.51,0.04
1525000,5.47,7,2040,100.0,-5.56,2.6,29.9,5.01,11.69,2.34,1.03
26000,13.06,7,2030,0.77,0.95,2.7,15.0,4.01,8.04,1.51,0.04
5126,15.18,4,2034,100.0,-6.4,2.8,19.5,4.51,8.54,2.01,0.04
39900,2.74,7,2035,99.96,-2.35,2.4,11.4,5.01,8.54,2.01,0.04
40450,4.46,8,2040,2.51,0.92,1.8,13.0,4.01,8.54,2.01,0.04
9372,0.85,5,2050,82.5,-2.75,3.5,26.3,5.34,10.2,1.51,0.04
